country,region,continent,alliances,metric,value
Malaysia,Southeast Asia,Asia,ASEAN,aircraft_total,135.0
Mozambique,East Africa,Africa,AFRICAN_UNION,aircraft_total,22.0
Peru,South America,South America,None,aircraft_total,256.0
Yemen,Middle East,Asia,ARAB_LEAGUE,aircraft_total,84.0
Venezuela,South America,South America,None,aircraft_total,229.0
Nepal,South Asia,Asia,None,aircraft_total,15.0
Cameroon,Central Africa,Africa,AFRICAN_UNION,aircraft_total,35.0
Ivory Coast,West Africa,Africa,AFRICAN_UNION,aircraft_total,19.0
Madagascar,East Africa,Africa,AFRICAN_UNION,aircraft_total,5.0
Australia,Oceania,Oceania,FIVE_EYES,aircraft_total,327.0
Niger,West Africa,Africa,AFRICAN_UNION,aircraft_total,26.0
North Korea,East Asia,Asia,None,aircraft_total,861.0
Syria,Middle East,Asia,ARAB_LEAGUE,aircraft_total,207.0
Taiwan,East Asia,Asia,None,aircraft_total,761.0
Burkina Faso,West Africa,Africa,AFRICAN_UNION,aircraft_total,25.0
Mali,West Africa,Africa,AFRICAN_UNION,aircraft_total,43.0
Sri Lanka,South Asia,Asia,None,aircraft_total,85.0
Zambia,Southern Africa,Africa,AFRICAN_UNION,aircraft_total,77.0
Kazakhstan,Central Asia,Asia,SCO,aircraft_total,198.0
Chad,Central Africa,Africa,AFRICAN_UNION,aircraft_total,40.0
Senegal,West Africa,Africa,AFRICAN_UNION,aircraft_total,40.0
Chile,South America,South America,None,aircraft_total,277.0
Ecuador,South America,South America,None,aircraft_total,102.0
Guatemala,Central America,North America,None,aircraft_total,36.0
Romania,Eastern Europe,Europe,"NATO, EU",aircraft_total,140.0
Netherlands,Western Europe,Europe,"NATO, EU",aircraft_total,120.0
Zimbabwe,Southern Africa,Africa,AFRICAN_UNION,aircraft_total,95.0
Cambodia,Southeast Asia,Asia,ASEAN,aircraft_total,25.0
Benin,West Africa,Africa,AFRICAN_UNION,aircraft_total,5.0
Somalia,East Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,0.0
South Sudan,East Africa,Africa,AFRICAN_UNION,aircraft_total,20.0
Bolivia,South America,South America,None,aircraft_total,64.0
Tunisia,North Africa,Africa,"ARAB_LEAGUE, AFRICAN_UNION",aircraft_total,154.0
