Country,total_population,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,major_ports_and_terminals,railway_coverage_km,roadway_coverage_km
Republic of the Congo,6097665,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,0,0,0,0,0,0,0,0,306400000,38163000000,715391000,56,5,510,23324
Botswana,2450668,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,0,0,0,0,0,0,0,0,465600000,46742000000,4756000000,122,0,888,31747
Mauritania,4328040,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,0,0,0,0,0,0,6,0,261250000,30395000000,2629290500,25,2,728,12253
Dominican Republic,10815857,50000,0,30000,79,0,8,11,17,1,0,50,0,5,540,0,11,0,34,0,0,0,0,0,0,14,0,810800000,261616000000,15547000000,32,17,496,19705
Senegal,18847519,17000,0,0,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,0,0,0,0,0,0,4,0,465150000,77382000000,889295000,19,6,906,16665
Nepal,31122387,95000,0,15000,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,0,0,0,0,0,0,0,0,409100000,144310000000,12456000000,51,0,59,27990
Montenegro,599849,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,0,0,0,0,0,0,2,0,148100000,17115000000,1574000000,5,4,250,7762
El Salvador,6628702,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,0,0,0,0,0,0,10,0,334620000,71957000000,3799434000,27,3,13,9012
Burkina Faso,23042199,12000,0,4500,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,0,0,0,0,0,0,0,0,81280000,57152000000,47138000,49,0,622,15304
Madagascar,29452714,13500,0,8100,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,0,0,0,0,0,0,4,0,112210000,51255000000,2632000000,91,13,836,31640
Nicaragua,6676948,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,0,0,0,0,0,0,23,0,92000000,51088000000,5447000000,39,5,0,23897
Bosnia and Herzegovina,3798671,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,0,0,0,0,0,0,0,0,216400000,63769000000,9205000000,13,1,965,22926
Gabon,2455105,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,0,0,0,0,0,0,4,0,274820000,48201000000,1568196000,40,9,649,14300
Moldova,3599528,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,0,0,0,0,0,0,0,0,1710000000,38969000000,5453000000,11,0,1171,9352
Iceland,364036,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,312400000,26155000000,5809000000,83,43,0,12898
Panama,4470241,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,0,0,0,0,0,0,27,0,917202000,159867000000,6757000000,76,12,77,11978
