overall_rank,country,manpower_norm,air_power_norm,land_power_norm,naval_power_norm,logistics_power_norm,energy_power_norm,geographical_power_norm,economic_power_norm,debt_norm,budget_to_gdp_norm,assets_per_capita_norm,is_nato,is_eu,is_brics,overall_power_index,power_rank_gap
35,Morocco,0.024209573050062095,0.019463920537540168,0.023696718087225368,5.349412596115511e-05,0.00862606927347228,3.823385981775418e-05,0.04169961800204886,0.011080967014246513,0.9974684342519021,0.24376968752537698,0.01113117174381257,0,0,0,0.13701569204572192,34
36,Spain,0.028248490784064984,0.0357508033888402,0.045912704477522194,0.05170459152317207,0.101385081053632,0.0007483174263524272,0.02973800806034564,0.06777894512276492,0.9785214952752941,0.06406893567961258,0.03347698553847741,1,1,0,0.13695554132073137,35
37,Venezuela,0.02079239492567888,0.01771107215892492,0.022945077631931692,1.4632922348118661e-05,0.01412138060005397,0.12238841660573377,0.053719627848921765,0.00887618425757099,0.9930227718789761,0.08490293120939622,0.03160136473469792,0,0,0,0.13612196705166635,36
38,Libya,0.005216159251497591,0.007960853052877593,0.004828037191169728,1.9190717833598245e-06,0.005677478744960687,0.032040503853129884,0.10229537119338931,0.006222426813267441,0.9994901313585155,0.15404904250566784,0.040176948431635676,0,0,0,0.1351736444654627,37
39,Taiwan,0.011469896336228696,0.05996202161846333,0.057352672207091976,0.060114683729773584,0.006571504842001285,0.0005602094996254816,0.00217528059474278,0.05064258903827318,0.9968886317857202,0.09638982138005439,0.04991188363081586,0,0,0,0.13413966056245177,38
40,Finland,0.0036944785731208352,0.012160385626643296,0.03195474122271858,0.004731471481873647,0.06671283893356846,2.3650339422776254e-05,0.020275311521200497,0.009868112738368013,0.9615308574812842,0.12961505593603423,0.10958586692529418,1,1,0,0.1340284658041161,39
41,Kazakhstan,0.011760919159210391,0.014899211218229623,0.021780034926226488,1.2234082618918881e-05,0.016384488321141016,0.051130302099345076,0.16119491999618546,0.02127775578231699,0.9975772547717642,0.017827563028248224,0.03234172222327709,0,0,0,0.13249086498262466,40
42,South Africa,0.031097945367356054,0.013657610283377154,0.04817514224795617,0.009661806777297957,0.11183354912274142,0.00030274773584431557,0.07109562741138596,0.026549572223783097,0.998725262783683,0.016126306602096064,0.019058173425199724,0,0,1,0.1319734171756938,41
43,Sweden,0.0056453301658937445,0.012342973999415717,0.017365399985468283,0.007719226364591974,0.08473610940827327,1.831022314032748e-05,0.026521899790629386,0.021468873506101813,0.9722583188168666,0.1180029526552355,0.06730789092258706,1,1,0,0.1311918412332102,42
44,Norway,0.002932146686889178,0.0070844288635699675,0.016631297807464793,0.015778128434838636,0.01460179825472889,0.034206834258896375,0.02045694217864786,0.016875268724377755,0.9731660527910441,0.11933898393490674,0.09367879100941263,1,0,0,0.1297875404220399,43
45,Moldova,0.002900894921931625,0.00021910604732690623,0.0014707098241912974,0.0,0.0015374814173291793,4.7705415958410746e-05,0.0021027442045915535,0.0013201875365520081,0.9978071287894748,0.2694013649383184,0.009942493339895634,0,0,0,0.1285429628899018,44
46,Bangladesh,0.11242061075547247,0.01562956470931931,0.03160898661328349,0.018106202392027024,0.053931700406043497,0.0037566279345790515,0.00937544429987378,0.04118827256307929,0.9993116444634464,0.01900463616075065,0.007829185465934009,0,0,0,0.12709746032007296,45
