global_rank,country_name,active-reserve-military-manpower,aircraft-helicopters-attack,aircraft-helicopters-total,aircraft-total,aircraft-total-fighters,aircraft-total-transports,armor-apc-total,armor-tanks-total,border-coverage,coal-consumption-by-country,coal-production-by-country,coastline-coverage,external-debt-by-country,labor-force-by-country,major-serviceable-airports-by-country,manpower-fit-for-military-service,manpower-paramilitary,manpower-reaching-military-age-annually,natural-gas-production-by-country,navy-aircraft-carriers,navy-force-by-tonnage,navy-frigates,navy-helo-carriers,navy-mine-warfare-craft,navy-ships,navy-submarines,oil-consumption-by-country,oil-production-by-country,proven-coal-reserves-by-country,proven-natural-gas-reserves-by-country,proven-oil-reserves-by-country,purchasing-power-parity,railway-coverage,reserves-of-foreign-exchange-and-gold,roadway-coverage,total-population-by-country,waterway-coverage
69,Jordan,65000,44,155,274,44,13,16624,1458,1744,479000,0.0,26,25646500000,3063000,17,2983464,35000,145262,187262000.0,0,124962.0,0,0,0,27,0,97000,20,0.0,6031000000.0,1000000,106806000000,509,15715600000,7203,11174024,0
70,Mongolia,135000,0,2,7,0,3,2560,420,8082,6393000,28276000.0,0,19542500000,1403000,35,1552233,50000,62352,0.0,0,124962.0,0,0,0,0,0,36000,15000,2520000000.0,0.0,0,56264000000,1815,4782000000,113200,3281676,580
71,Serbia,2000,4,46,110,11,3,3683,262,2322,38297000,35129000.0,0,35200000000,3333000,43,2574406,600000,79827,353376000.0,0,124962.0,0,0,5,20,0,82000,13000,7514000000.0,48139000000.0,77500000,162213000000,3333,27569000000,44248,6652212,587
72,Chad,0,3,16,40,0,7,3316,90,6406,0,0.0,0,2038000000,5806000,42,3856906,5000,381872,0.0,0,124962.0,0,0,0,0,0,15000,124000,0.0,0.0,1500000000,32446000000,0,211591000,40000,19093595,12400
73,Belgium,6400,0,20,108,43,7,4606,0,1297,4869000,1270000.0,67,1449264300000,5432000,49,3880753,0,119776,13436000.0,0,10190.0,2,0,5,9,0,585000,11000,4100000000.0,0.0,0,751592000000,3602,40813000000,118414,11977634,2043
74,Kenya,0,2,85,156,17,21,4128,188,3457,1168000,0.0,536,30514500000,25502000,370,14037377,25000,931942,0.0,0,124962.0,0,0,0,23,0,119000,0,0.0,0.0,0,314063000000,3819,7342000000,161452,58246378,0
75,Cuba,40000,4,13,31,11,4,6864,113,29,2000,0.0,3735,33066000000,5317000,123,4737328,1145000,142558,659434000.0,0,124962.0,1,0,4,19,0,165000,34000,0.0,70792000000.0,124000000,141400000000,8367,10442000000,60000,10966038,240
76,Mozambique,0,2,8,22,8,4,872,30,4783,11000,9015000.0,2470,12100000000,15191000,92,7770772,3000,533615,5388000000.0,0,124962.0,0,0,0,33,0,40000,0,1792000000.0,2832000000000.0,0,50631000000,4787,3515000000,31083,33350954,460
77,Mali,0,8,10,43,9,7,570,10,7908,0,0.0,0,4057500000,8277000,30,4288168,4800,351850,0.0,0,124962.0,0,0,0,0,0,46000,0,0.0,0.0,0,57235000000,593,647800000,139107,21990607,1800
78,Belarus,145000,29,68,185,36,4,6916,507,3599,778000,0.0,0,44000000000,4956000,46,3724569,55000,104516,73929000.0,0,124962.0,0,0,0,0,0,131000,30000,0.0,2832000000.0,198000000,254407000000,5528,8118000000,86600,9501451,2500
79,Ecuador,118000,0,46,102,0,20,5204,54,2237,21000,0.0,2237,44898000000,8893000,310,6738074,1500,329580,309778000.0,0,124962.0,2,0,0,30,2,225000,480000,24000000.0,10902000000.0,8273000000,260213000000,965,4442000000,43950,18309984,1500
80,Kyrgyzstan,300000,2,7,7,0,0,2686,215,4573,3352000,3637000.0,0,6728500000,3069000,28,2487357,55000,117270,31026000.0,0,124962.0,0,0,0,0,0,31000,6000,28499000000.0,5663000000.0,40000000,45461000000,424,3237000000,34000,6172101,576
81,Tanzania,80000,0,12,39,14,6,1072,62,4161,802000,2511000.0,1424,18983500000,31219000,206,6678750,6500,607159,1808000000.0,0,124962.0,0,0,0,12,0,58000,0,1410000000.0,6513000000.0,0,234050000000,4097,5693050000,145203,67462121,0
82,Paraguay,168500,0,14,39,0,11,1108,0,4655,1000,0.0,0,14370000000,3469000,83,3001497,15000,150451,0.0,0,124962.0,0,0,0,72,0,57000,2000,0.0,0.0,0,108022000000,30,9886000000,78811,7522549,3100
83,Laos,30000,0,23,33,0,2,4380,160,5274,13691000,14845000.0,0,16500000000,3174000,18,2521277,120000,159071,0.0,0,124962.0,0,0,0,36,0,24000,0,62000000.0,0.0,0,64173000000,422,1770000000,39568,7953556,4600
84,Afghanistan,0,1,6,9,0,3,5202,0,5987,1545000,4885000.0,0,1142500000,8921000,67,8826741,80000,842553,80200000.0,0,124962.0,0,0,0,0,0,2700,0,66000000.0,49554000000.0,0,54772700000,0,8852092000,34903,40121552,1200
85,Cameroon,0,0,21,35,0,6,430,0,5018,0,0.0,400,9506000000,11965000,37,6224187,12500,495458,2595000000.0,0,124962.0,0,0,0,51,0,40000,54000,0.0,135071000000.0,200000000,138925000000,987,5754093000,77589,30966105,0
