country,power_rank,power_index,population,total_military_personnel,active_personnel,reserve_personnel,aircraft,helicopters,tanks,naval_assets,defense_budget,total_assets,assets_per_capita,power_index_rank_gap,budget_per_soldier,budget_per_capita,continent,is_nato
Bosnia and Herzegovina,133,3.1291,3798671,2355176,18000,8000,15,15,45,0,289920000,75,1.974374722106758e-05,132,123.09908049334742,76.32142925775884,Other,0
Iceland,134,3.4013,364036,83728,0,0,0,0,0,0,500000000,0,0.0,133,5971.717943818077,1373.4905339032402,Other,1
Panama,135,3.5011,4470241,2011608,16300,0,38,23,0,22,1069750000,83,1.8567231610107822e-05,134,531.7884995486198,239.30477126401016,Other,0
Moldova,136,3.6225,3599528,2159717,6500,2000,3,2,0,0,114114000,5,1.3890710115326232e-06,135,52.837478243677296,31.702489882006752,Other,0
Somalia,137,3.7393,13017273,2993973,30000,0,6,6,0,19,870000000,31,2.3814511687663e-06,136,290.58378281968476,66.83427473634455,Other,0
Benin,138,3.8963,14697052,5584880,4750,0,7,5,0,2,137690000,14,9.525719851845118e-07,137,24.65406597814098,9.368545474289673,Other,0
Kosovo,139,3.8041,1977093,917371,4000,5000,0,0,0,0,1177450000,0,0.0,138,1283.5047107440719,595.5460871086995,Other,0
Sierra Leone,140,3.9201,9121049,2006631,13000,0,1,1,0,10,450000000,12,1.3156381464456556e-06,139,224.25647764835688,49.336430491712086,Other,0
Liberia,141,3.9275,5437249,2392390,2100,0,0,0,0,6,20700000,6,1.1034992144005176e-06,140,8.652435430678109,3.807072289681786,Other,0
Suriname,142,4.0538,646758,142287,2500,0,3,3,0,17,58440000,23,3.556198763679769e-05,141,410.71918024837123,90.3583720649764,Other,0
Central African Republic,143,4.2381,5650957,2203873,30000,0,8,0,0,0,300000000,8,1.4156894133153022e-06,142,136.1239962556826,53.08835299932383,Other,0
Beliz,144,4.3602,415789,158000,2000,850,3,1,0,15,34400000,19,4.5696254590669785e-05,143,217.72151898734177,82.73427146942319,Other,0
Bhutan,145,5.7991,884546,203446,16000,50000,2,2,0,0,26600000,4,4.5220938198804814e-06,144,130.74722530794412,30.0719239022052,Other,0
